,gene_ids,feature_types,genome,mt,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts,n_cells,highly_variable,means,dispersions,dispersions_norm
SAMD11,ENSG00000187634,Gene Expression,GRCh38,False,240,0.10263468,0.09770248,90.56232795910341,261.0,5.5683446,240,True,0.09207512432511974,0.15458095782142914,0.51282704
NOC2L,ENSG00000188976,Gene Expression,GRCh38,False,542,0.24852537,0.22196315,78.68659064097523,632.0,6.4504704,541,False,0.19345001335011486,0.11501827390507295,0.26536697
KLHL17,ENSG00000187961,Gene Expression,GRCh38,False,76,0.02988596,0.029448079,97.01140385371609,76.0,4.3438053,75,False,0.02421873249838026,0.04230015135863739,-0.18947658
PLEKHN1,ENSG00000187583,Gene Expression,GRCh38,False,69,0.02791978,0.02753713,97.28666928824224,71.0,4.276666,69,False,0.01834602865170817,-0.1503121970932943,-1.3942448
HES4,ENSG00000188290,Gene Expression,GRCh38,False,1009,0.5792371,0.45694187,60.322453794730635,1473.0,7.295735,1006,False,0.39365615784010627,0.11858124455228743,0.08074898
ISG15,ENSG00000187608,Gene Expression,GRCh38,False,296,0.13881242,0.12998599,88.36020448289422,353.0,5.869297,296,True,0.11196886588214028,0.46246722575673777,2.4386203
AGRN,ENSG00000188157,Gene Expression,GRCh38,False,593,0.31262287,0.27202734,76.68108533228471,795.0,6.6795993,592,False,0.20673020138459744,0.001281202561251511,-0.70620966
C1orf159,ENSG00000131591,Gene Expression,GRCh38,False,161,0.06685018,0.06471055,93.66889500589855,170.0,5.1416636,159,False,0.05747139885444871,0.13964739626925907,0.41941932
TNFRSF18,ENSG00000186891,Gene Expression,GRCh38,False,25,0.010224145,0.010172232,99.0169091624066,26.0,3.295837,25,False,0.007589678069013939,-0.08378793409598638,-0.97814316
TNFRSF4,ENSG00000186827,Gene Expression,GRCh38,False,69,0.027133306,0.026771724,97.28666928824224,69.0,4.248495,69,False,0.02418892373823474,0.07787877806455795,0.033063665
SDF4,ENSG00000078808,Gene Expression,GRCh38,False,1877,1.6826583,0.98680824,26.189539913488,4279.0,8.361709,1874,False,0.8875851296966571,0.13340107262820367,-0.35641825
B3GALT6,ENSG00000176022,Gene Expression,GRCh38,False,321,0.13566653,0.12721974,87.37711364530082,345.0,5.846439,320,False,0.10715369756741257,0.009838207804206908,-0.39252234
C1QTNF12,ENSG00000184163,Gene Expression,GRCh38,False,19,0.00747149,0.0074437167,99.25285096342901,19.0,2.9957323,19,True,0.006787570982459716,0.16003790066397164,0.5469596
UBE2J2,ENSG00000160087,Gene Expression,GRCh38,False,605,0.2858828,0.25144547,76.20920173023987,727.0,6.590301,604,False,0.21946057639238178,0.08117386881332557,-0.17021477
SCNN1D,ENSG00000162572,Gene Expression,GRCh38,False,159,0.06370429,0.06175743,93.74754227290602,162.0,5.09375,158,False,0.058916453320597924,0.09731248479462686,0.15461928
ACAP3,ENSG00000131584,Gene Expression,GRCh38,False,683,0.3267794,0.2827545,73.14195831694849,831.0,6.7238326,682,False,0.2654254030995126,0.1722244415038849,0.44063783
PUSL1,ENSG00000169972,Gene Expression,GRCh38,False,184,0.075501375,0.07278695,92.76445143531262,192.0,5.26269,183,False,0.05857891950009629,-0.07952498342553141,-0.95147884
INTS11,ENSG00000127054,Gene Expression,GRCh38,False,1223,0.7416437,0.55482936,51.907196224931184,1886.0,7.5427437,1220,False,0.490300197012386,0.08073033763284018,-0.2319735
CPTP,ENSG00000224051,Gene Expression,GRCh38,False,323,0.1407786,0.131711,87.29846637829336,358.0,5.8833222,322,False,0.1100692332761381,0.039912475685492804,-0.20441121
DVL1,ENSG00000107404,Gene Expression,GRCh38,False,651,0.30751082,0.2681252,74.40031458906803,782.0,6.6631327,649,False,0.24285812214523372,0.104204277598953,-0.015705194
MXRA8,ENSG00000162576,Gene Expression,GRCh38,False,1257,0.7522611,0.560907,50.57019268580416,1913.0,7.5569506,1257,False,0.5301664532658593,0.20420718824539497,0.26625392
AURKAIP1,ENSG00000175756,Gene Expression,GRCh38,False,1310,0.7845065,0.5791419,48.486040110106174,1995.0,7.5989003,1308,False,0.5172390159599611,0.03456428498265364,-0.4182529
CCNL2,ENSG00000221978,Gene Expression,GRCh38,False,1857,1.6850177,0.98768735,26.976012583562724,4285.0,8.36311,1854,False,0.8739972465704815,0.12461598254892357,-0.39078975
ANKRD65,ENSG00000235098,Gene Expression,GRCh38,False,95,0.03971687,0.038948435,96.2642548171451,101.0,4.624973,95,False,0.03282014163489589,0.09729493752501575,0.15450953
VWA1,ENSG00000179403,Gene Expression,GRCh38,False,1982,1.7459693,1.0101341,22.060558395595752,4440.0,8.398635,1979,True,0.9953514735541712,0.3922000111106797,0.70989704
ATAD3C,ENSG00000215915,Gene Expression,GRCh38,False,106,0.044042468,0.043100167,95.83169484860402,112.0,4.727388,106,False,0.036486495284124884,0.011214826213797659,-0.38391173
TMEM240,ENSG00000205090,Gene Expression,GRCh38,False,256,0.10302792,0.09805905,89.93314982304365,262.0,5.572154,256,False,0.09433735078859172,0.06913269768494444,-0.021642067
SSU72,ENSG00000160075,Gene Expression,GRCh38,False,1279,0.82186395,0.59986013,49.70507274872198,2090.0,7.6453977,1278,False,0.5192024643514375,0.08441745204611058,-0.21709605
FNDC10,ENSG00000228594,Gene Expression,GRCh38,False,19,0.007864727,0.007833961,99.25285096342901,20.0,3.0445225,19,False,0.005936496707958623,0.03930816982459816,-0.20819108
MIB2,ENSG00000197530,Gene Expression,GRCh38,False,785,0.38891074,0.3285198,69.13094769956744,989.0,6.897705,783,False,0.2880370890182852,0.10880154312518509,0.015137573
MMP23B,ENSG00000189409,Gene Expression,GRCh38,False,53,0.021234762,0.021012446,97.915847424302,54.0,4.0073333,53,True,0.022417642296749023,0.24118352211473018,1.0545162
CDK11B,ENSG00000248333,Gene Expression,GRCh38,False,610,0.281164,0.24776903,76.01258356272119,715.0,6.5736804,608,False,0.22387224045491583,0.09302779888711768,-0.09068749
SLC35E2B,ENSG00000189339,Gene Expression,GRCh38,False,709,0.3602045,0.30763504,72.11954384585135,916.0,6.8211074,707,False,0.2644409146834162,0.12658109621963942,0.13441949
SLC35E2A,ENSG00000215790,Gene Expression,GRCh38,False,444,0.20290995,0.18474358,82.54030672434133,516.0,6.248043,443,False,0.15752328402177698,0.09261045085471005,0.1252086
NADK,ENSG00000008130,Gene Expression,GRCh38,False,488,0.22689736,0.20448852,80.81006685017695,577.0,6.359574,486,False,0.17728429528842385,0.09575162134339106,0.14485626
GNB1,ENSG00000078369,Gene Expression,GRCh38,False,2052,2.0389304,1.1115056,19.307904050334244,5185.0,8.553718,2049,False,1.0187543709619562,0.09584695083366726,-0.7649543
CALML6,ENSG00000169885,Gene Expression,GRCh38,False,33,0.012976799,0.012893322,98.70232009437672,33.0,3.5263605,33,False,0.010987839040920629,0.04629593059091669,-0.16448343
TMEM52,ENSG00000178821,Gene Expression,GRCh38,False,28,0.011010617,0.0109504415,98.8989382618954,28.0,3.3672957,28,False,0.010751251644833624,0.0917385737003518,0.119755104
PRKCZ,ENSG00000067606,Gene Expression,GRCh38,False,272,0.12504916,0.11782673,89.30397168698387,318.0,5.765191,270,False,0.08285989109097844,-0.041589548022490416,-0.71419704
FAAP20,ENSG00000162585,Gene Expression,GRCh38,False,372,0.16240661,0.15049252,85.37160833661031,413.0,6.025866,371,False,0.13309595967271753,0.10626395039390502,0.21060967
SKI,ENSG00000157933,Gene Expression,GRCh38,False,1096,0.6036178,0.4722622,56.90129767990562,1535.0,7.336937,1095,False,0.4351755767857468,0.11757670334630266,-0.083298914
MORN1,ENSG00000116151,Gene Expression,GRCh38,False,384,0.17223752,0.15891433,84.89972473456547,438.0,6.0844994,384,False,0.13073590520380837,0.009261436293916823,-0.39612997
RER1,ENSG00000157916,Gene Expression,GRCh38,False,1416,0.9571372,0.6714828,44.31773495871019,2434.0,7.797702,1413,False,0.5835859972299275,0.04610619042926126,-0.37168145
PEX10,ENSG00000157911,Gene Expression,GRCh38,False,182,0.07707432,0.0742484,92.84309870232009,196.0,5.2832036,181,False,0.05753922758019971,-0.025553793304135507,-0.61389524
PLCH2,ENSG00000149527,Gene Expression,GRCh38,False,386,0.19386551,0.17719637,84.821077467558,493.0,6.2025356,384,False,0.12586198392766615,0.05352560321295085,-0.11926266
PANK4,ENSG00000157881,Gene Expression,GRCh38,False,412,0.18482108,0.16959178,83.79866299646088,470.0,6.154858,411,False,0.14492562310484747,0.022854438504391984,-0.31110728
HES5,ENSG00000197921,Gene Expression,GRCh38,False,10,0.0043256,0.0043162713,99.60676366496264,11.0,2.4849067,10,True,0.004014960565104231,0.3179734854676491,1.5348287
TNFRSF14,ENSG00000157873,Gene Expression,GRCh38,False,610,0.2921746,0.25632656,76.01258356272119,743.0,6.612041,608,False,0.21472500767258856,0.024332823815355856,-0.5515578
PRXL2B,ENSG00000157870,Gene Expression,GRCh38,False,243,0.10460086,0.099484056,90.44435705859222,266.0,5.587249,243,False,0.08228511928786891,0.07874404096434866,0.038475785
PRDM16,ENSG00000142611,Gene Expression,GRCh38,False,33,0.013763271,0.013669417,98.70232009437672,35.0,3.583519,33,False,0.013011853556682244,0.11168220218439193,0.24450022
ARHGEF16,ENSG00000130762,Gene Expression,GRCh38,False,182,0.08179316,0.078619994,92.84309870232009,208.0,5.3423343,182,False,0.05673149417844998,0.012631037491305352,-0.3750535
MEGF6,ENSG00000162591,Gene Expression,GRCh38,False,699,0.39480928,0.33275768,72.51278018088871,1004.0,6.9127426,698,False,0.2590763287289314,0.08291508985511116,-0.15853302
TPRG1L,ENSG00000158109,Gene Expression,GRCh38,False,718,0.35037357,0.30038127,71.76563114431774,891.0,6.793466,717,False,0.2664159828316896,0.10684704237242812,0.0020249495
WRAP73,ENSG00000116213,Gene Expression,GRCh38,False,340,0.14628391,0.13652533,86.62996460872985,372.0,5.9215784,338,False,0.11510575204834188,0.027070195793380297,-0.2847382
TP73,ENSG00000078900,Gene Expression,GRCh38,False,105,0.04600865,0.044981636,95.87101848210776,117.0,4.7706847,104,False,0.03039882985705921,-0.08450032704618443,-0.9825991
SMIM1,ENSG00000235169,Gene Expression,GRCh38,False,143,0.058592215,0.056939926,94.37672040896578,149.0,5.0106354,143,False,0.04680636999797334,-0.037041670703377653,-0.6857506
LRRC47,ENSG00000130764,Gene Expression,GRCh38,False,950,0.5037357,0.4079525,62.64254817145104,1281.0,7.1561766,948,False,0.35809965475491407,0.09238329265066514,-0.09501144
CEP104,ENSG00000116198,Gene Expression,GRCh38,False,485,0.21588674,0.19547364,80.92803775068816,549.0,6.3099184,484,False,0.17241855062451644,0.05914053213908576,-0.08414192
DFFB,ENSG00000169598,Gene Expression,GRCh38,False,146,0.059378687,0.057682592,94.25874950845458,151.0,5.0238805,145,False,0.04906806535186969,0.055194792456423135,-0.10882207
C1orf174,ENSG00000198912,Gene Expression,GRCh38,False,400,0.1742037,0.16059022,84.2705465985057,443.0,6.0958247,399,False,0.1439984846166751,0.08260190893165831,0.06260631
AJAP1,ENSG00000196581,Gene Expression,GRCh38,False,384,0.17145105,0.1582432,84.89972473456547,436.0,6.079933,384,True,0.15741943548892787,0.21610423790435343,0.8976481
NPHP4,ENSG00000131697,Gene Expression,GRCh38,False,307,0.13173418,0.123751126,87.92764451435313,335.0,5.817111,307,False,0.1082095129336407,0.0857462169741751,0.082273595
KCNAB2,ENSG00000069424,Gene Expression,GRCh38,False,221,0.09241054,0.08838676,91.3094769956744,235.0,5.463832,221,False,0.07384673393754233,-0.019558100567468276,-0.5763929
CHD5,ENSG00000116254,Gene Expression,GRCh38,False,97,0.040110108,0.03932658,96.18560755013763,102.0,4.634729,97,True,0.0404692948771419,0.19989137065138893,0.7962385
RNF207,ENSG00000158286,Gene Expression,GRCh38,False,385,0.17263076,0.15924974,84.86040110106174,439.0,6.086775,384,False,0.1366422283562851,0.13416665772271044,0.38513792
ICMT,ENSG00000116237,Gene Expression,GRCh38,False,743,0.3602045,0.30763504,70.78254030672434,916.0,6.8211074,741,False,0.27902835261134507,0.13750642504506405,0.20771684
GPR153,ENSG00000158292,Gene Expression,GRCh38,False,206,0.0876917,0.08405775,91.89933149823044,223.0,5.411646,206,False,0.07407527911799486,0.12323940044421135,0.31678918
ACOT7,ENSG00000097021,Gene Expression,GRCh38,False,337,0.14628391,0.13652533,86.74793550924105,372.0,5.9215784,336,False,0.11882170042749449,0.04154092045811566,-0.19422548
HES2,ENSG00000069812,Gene Expression,GRCh38,False,34,0.013370035,0.013281445,98.66299646087299,34.0,3.5553482,34,False,0.007704774098213809,-0.372386292626295,-2.7832928
ESPN,ENSG00000187017,Gene Expression,GRCh38,False,104,0.045222178,0.044229474,95.91034211561148,115.0,4.75359,104,False,0.03048300541749353,-0.14010056457235473,-1.3303722
TNFRSF25,ENSG00000215788,Gene Expression,GRCh38,False,250,0.10342116,0.0984155,90.16909162406607,263.0,5.575949,249,False,0.0852796850972421,0.0477987088062754,-0.15508373
PLEKHG5,ENSG00000171680,Gene Expression,GRCh38,False,432,0.19189933,0.1755481,83.01219032638616,488.0,6.1923623,432,False,0.15136688415350855,0.06630832186883986,-0.039308213
NOL9,ENSG00000162408,Gene Expression,GRCh38,False,571,0.2575698,0.22918113,77.54620526936688,655.0,6.4861608,570,False,0.20325931971295028,0.09487685523910204,-0.07828229
ZBTB48,ENSG00000204859,Gene Expression,GRCh38,False,420,0.18914668,0.17323598,83.48407392843099,481.0,6.177944,419,False,0.1429090138580856,0.05914046187811966,-0.08414236
KLHL21,ENSG00000162413,Gene Expression,GRCh38,False,1013,0.5198584,0.4186172,60.16515926071568,1322.0,7.1876574,1012,False,0.40450926286082706,0.20114291150798255,0.2538896
